Market,Client/Sponsor,Project ,Due Date,Task,Complete,Team,ME,Deployment,Notes,Missed Deadline
Neurology,None,ICNS,"Thursday, March 20, 2025",Submit ICNS January-March 2025,FALSE,"AT, AV",AV,,"Waiting on Kisunla ad, updated due date 3/20",FALSE
Dermatology,None,NPPA/PIA,"Thursday, March 20, 2025",Submit NPPA March-April 2025 to printer,FALSE,"AV, GV",AV,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, March 20, 2025",Tagrisso April CE (LAURA) materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Friday, March 21, 2025",Castle EP Video Filmed,FALSE,JE,JE,,Jason Rizzo scheduled ,FALSE
Dermatology,Castle,Hot Topics- Derm,"Friday, March 21, 2025",HT in Melanoma April Due to Castle for Review,FALSE,"JE, AT",JE,,,FALSE
Dermatology,Castle,Hot Topics- Derm,"Friday, March 21, 2025",HT in Melanoma April Materials Due,FALSE,JE,JE,,"Alyssa Frank working on print ad, banners",FALSE
Dermatology,None,JCADTV Unsponsored,"Sunday, March 23, 2025",JCADonline/JCADTV Post Freeze Ends,FALSE,"JE, GV",JE,,,FALSE
Oncology,None,CU Unsponsored,"Monday, March 24, 2025",CU in Oncology March eNL,FALSE,"AV, AT",AV,x,,FALSE
Neurology,None,ICNS,"Monday, March 24, 2025",Deploy ICNS Jan-Mar25 new issue e-alert,FALSE,"DD, AT",AV,x,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Monday, March 24, 2025",HT in Melanoma Target List Due from Castle,FALSE,"JE, GV",JE,,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Monday, March 24, 2025",Verzenio April CE materials due,FALSE,"AV, AT",AV,,,FALSE
Oncology,Lilly/Verzenio,CU Breast Cancer,"Tuesday, March 25, 2025",CU in Breast Cancer April materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Tuesday, March 25, 2025",Deploy #1 CU in GPP,FALSE,"JE, GV",JE,x,,FALSE
Oncology,AZ/Calquence,Triggered Email,"Wednesday, March 26, 2025",Deploy Calquence MCL March Triggered Email,FALSE,"AV, AT",AV,x,,FALSE
NHR,None,NHR,"Wednesday, March 26, 2025",Deploy NHR March 2025 eNL #2 (2/3),FALSE,DD,JE,x,,FALSE
Dermatology,Castle,Hot Topics- Derm,"Wednesday, March 26, 2025",HT in Melanoma April Castle Review Returned ,FALSE,"JE, AT",JE,,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Thursday, March 27, 2025",Deploy #2 CU in GPP,FALSE,"JE, GV",JE,x,,FALSE
Dermatology,Castle,Hot Topics- Derm,"Thursday, March 27, 2025",Submit HT in Melanoma April (JCAD April poly),FALSE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Thursday, March 27, 2025",Submit JCAD Apr25,FALSE,JE,JE,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, March 27, 2025",Tagrisso April CE (ADAURA) materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Friday, March 28, 2025",Castle EP Materials Due,FALSE,"JE, GV",JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Friday, March 28, 2025",Deploy Mar Digital Highlights ,FALSE,GV,JE,x,,FALSE
Dermatology,None,JCAD Journal,"Friday, March 28, 2025",JCAD May25 copyediting complete,FALSE,GV,JE,,,FALSE
NHR,None,NHR,"Monday, March 31, 2025",NHR Mar-Apr Freelance Deadline,FALSE,JE,JE,,,FALSE
Dermatology,Arcutis/Zoryve,NPPA/PIA,"Tuesday, April 1, 2025",Arcutis Corner May-June article due,FALSE,AV,AV,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, April 1, 2025",Castle EP Test Due,FALSE,"JE, GV",JE,,,FALSE
Dermatology,Beiersdorf/Body,NPPA/PIA,"Tuesday, April 1, 2025",Deploy NPPA March-April New Issue eNL,FALSE,GV,AV,x,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Tuesday, April 1, 2025",Deploy Verzenio April CE,FALSE,"AV, AT",AV,x,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Tuesday, April 1, 2025",EP in AD Test Due to Deerfield,FALSE,"JE, GV",JE,,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Tuesday, April 1, 2025",EP in GPP Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Tuesday, April 1, 2025",JCAD May25 Print Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,Castle,Hot Topics- Derm,"Thursday, April 3, 2025",Castle Hot Topics in Melanoma April Deploy,FALSE,GV,JE,x,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, April 3, 2025",Deploy Tagrisso April CE (LAURA),FALSE,"AV, AT",AV,x,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Thursday, April 3, 2025",Submit HT in Alzheimer's Disease April to printer,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Friday, April 4, 2025",EP in VIT Incyte Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, April 4, 2025",Skinceuticals selects preferred article focus and NP or PA to be featured; editorial completes initial reach out,FALSE,JE,JE,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, April 8, 2025",Deploy #1 Castle EP ,FALSE,GV,JE,x,,FALSE
Oncology,Lilly/Verzenio,CU Breast Cancer,"Tuesday, April 8, 2025",Deploy CU in Breast Cancer April,FALSE,"AV, AT",AV,x,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Tuesday, April 8, 2025",Deploy EP in AD (Dermatologists),FALSE,GV,JE,x,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Tuesday, April 8, 2025",Deploy EP in AD (NPPA),FALSE,GV,AV,x,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Tuesday, April 8, 2025",EP in GPP Test Due,FALSE,"JE, GV",JE,,,FALSE
Oncology,Exelixis/Cabometyx,EP RCC,"Tuesday, April 8, 2025",EP in RCC April materials due,FALSE,"AV, AT",AV,,,FALSE
NHR,None,NHR,"Thursday, April 10, 2025",Deploy NHR April 2025 eNL #1 (3/3),FALSE,DD,JE,x,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, April 10, 2025",Deploy Tagrisso CE (ADAURA),FALSE,"AV, AT",AV,x,,FALSE
Dermatology,None,JCAD Journal,"Thursday, April 10, 2025",Send JDR JCAD Jun25 Articles,FALSE,JE,JE,,,FALSE
Neurology,Amgen/Uplizna,Hot Topics- Neurology,"Friday, April 11, 2025",HT in Inflammatory Diseases May materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, April 11, 2025",SkinCeuticals provides any product line-specific literature that should be passed on to KOL,FALSE,JE,JE,,,FALSE
NHR,None,NHR,"Friday, April 11, 2025",Submit NHR Mar-Apr25,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Tuesday, April 15, 2025",Deploy EP in GPP,FALSE,GV,JE,x,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Tuesday, April 15, 2025",Deploy HT in Alzheimer's Disease April New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
Neurology,None,ICNS,"Tuesday, April 15, 2025",ICNS Apr-Jun25 article formatting due,FALSE,DD,AV,,,FALSE
Dermatology,None,JCAD Journal,"Tuesday, April 15, 2025",JCAD May25 Editorial Message Due,FALSE,JE,JE,,,FALSE
NHR,None,NHR,"Tuesday, April 15, 2025",NHR May-Jun25 Content Meeting,FALSE,"JE, DD, AT",JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Wednesday, April 16, 2025",Review questions submitted to SkinCeuticals for review,FALSE,JE,JE,,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Thursday, April 17, 2025",HT in Alzheimer's Disease May materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,None,JCAD Journal,"Thursday, April 17, 2025",Submit JCAD May25,FALSE,JE,JE,,iPath cover wrap?,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, April 22, 2025",Castle EP Video Filmed,FALSE,JE,JE,,,FALSE
Oncology,Exelixis/Cabometyx,EP RCC,"Tuesday, April 22, 2025",Deploy EP in RCC April,FALSE,"AV, AT",AV,x,,FALSE
NHR,None,NHR,"Tuesday, April 22, 2025",Deploy NHR Mar-Apr25 New Issue,FALSE,DD,JE,x,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Tuesday, April 22, 2025",Verzenio May CE materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Wednesday, April 23, 2025",Questions finalized and sent to KOL for interview prep,FALSE,JE,JE,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, April 24, 2025",Tagrisso May CE (ADAURA) materials due,FALSE,"AV, AT",AV,,,FALSE
Neurology,Amgen/Uplizna,Hot Topics- Neurology,"Friday, April 25, 2025",Submit HT in Inflammatory Diseases May to printer,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, April 29, 2025",Castle EP Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Tuesday, April 29, 2025",Deploy Apr Digital Highlights ,FALSE,GV,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Tuesday, April 29, 2025",EP in VIT Test Due to Deerfield,FALSE,"JE, GV",JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Wednesday, April 30, 2025",Interview with KOL completed,FALSE,JE,JE,x,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Thursday, May 1, 2025",CU in GPP Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,Custom Email,"Thursday, May 1, 2025",Custom Email Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Thursday, May 1, 2025",JCAD Jun25 Print Materials Due,FALSE,JE,JE,,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Thursday, May 1, 2025",Submit HT in Alzheimer's Disease May to printer,FALSE,"AV, AT",AV,,,FALSE
NHR,None,NHR,"Monday, May 5, 2025",Deploy NHR May 2025 eNL #1 (1/3),FALSE,DD,JE,x,,FALSE
Dermatology,Skinceuticals,EP PIA,"Tuesday, May 6, 2025",Article draft sent to SkinCeuticals for feedback/approval,FALSE,JE,JE,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, May 6, 2025",Castle EP Test Due,FALSE,"JE, GV",JE,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Tuesday, May 6, 2025",Deploy EP in VIT (Dermatologists),FALSE,GV,JE,x,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Tuesday, May 6, 2025",Deploy EP in VIT (NPPA),FALSE,GV,AV,,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Tuesday, May 6, 2025",Deploy Verzenio May CE,FALSE,"AV, AT",AV,x,,FALSE
Oncology,Exelixis/Cabometyx,EP RCC,"Tuesday, May 6, 2025",EP in RCC May materials due,FALSE,"AV, AT",AV,,,FALSE
Neurology,Amgen/Uplizna,Hot Topics- Neurology,"Wednesday, May 7, 2025",Deploy HT in Inflammatory Diseases May New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
Oncology,AZ/Calquence,Hot Topics- Oncology,"Wednesday, May 7, 2025",HT in CLL June materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,BI/Spevigo,Custom Email,"Thursday, May 8, 2025",Custom Email Test Due,FALSE,JE,JE,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, May 8, 2025",Deploy Tagrisso May CE (ADAURA),FALSE,"AV, AT",AV,x,,FALSE
Dermatology,Skinceuticals,EP PIA,"Thursday, May 8, 2025",One-page print ad materials due,FALSE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Friday, May 9, 2025",JCAD Jun25 Editorial Message Due,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Tuesday, May 13, 2025",CU in GPP Test Due,FALSE,"JE, GV",JE,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, May 13, 2025",Deploy Castle EP,FALSE,GV,JE,x,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Tuesday, May 13, 2025",Deploy HT in Alzheimer's Disease May New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
Dermatology,Skinceuticals,EP PIA,"Tuesday, May 13, 2025",SkinCeuticals submits feedback and changes and product images for final formatted version of article,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,Custom Email,"Thursday, May 15, 2025",Deploy Custom Email ,FALSE,GV,JE,x,,FALSE
Oncology,AZ/Truqap,Hot Topics- Oncology,"Thursday, May 15, 2025",HT in Metastatic Breast Cancer June materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,None,NPPA/PIA,"Thursday, May 15, 2025",NPPA May-June all galleys sent,FALSE,GV,AV,,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Friday, May 16, 2025",EP in AD Incyte Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, May 16, 2025","JCAD staff updates article with feedback and edits, and returns formatted proof to Skinceuticals for final review",FALSE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Friday, May 16, 2025",Send JDR JCAD Jul25 Articles,FALSE,JE,JE,,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Monday, May 19, 2025",HT in Alzheimer's Disease June materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Tuesday, May 20, 2025",Article manuscript finalized,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Tuesday, May 20, 2025",Deploy CU in GPP,FALSE,GV,JE,x,,FALSE
Oncology,Exelixis/Cabometyx,EP RCC,"Tuesday, May 20, 2025",Deploy EP in RCC May,FALSE,"AV, AT",AV,x,,FALSE
Oncology,AZ/Calquence,Hot Topics- Oncology,"Wednesday, May 21, 2025",Submit HT in CLL June to printer,FALSE,"AV, AT",AV,,,FALSE
NHR,None,NHR,"Thursday, May 22, 2025",Deploy NHR May 2025 eNL #2 (2/3),FALSE,DD,JE,x,,FALSE
Oncology,AZ/One Lung,Hot Topics- Oncology,"Thursday, May 22, 2025",HT in NSCLC June materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,None,NPPA/PIA,"Thursday, May 22, 2025",Submit NPPA/PIA May-June to printer,FALSE,"AV, JE","AV, JE",,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Thursday, May 22, 2025",Verzenio June CE materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Tuesday, May 27, 2025",Deploy #1 JCAD May Digital Highlights,FALSE,"JE, GV",JE,x,,FALSE
Dermatology,None,JCADTV Unsponsored,"Tuesday, May 27, 2025",Deploy May Digital Highlights ,FALSE,GV,JE,x,,FALSE
NHR,None,NHR,"Tuesday, May 27, 2025",NHR May-June Freelance Deadline,FALSE,JE,JE,,,FALSE
Ophthalmology,Genentech/Vabsymo,Custom Email,"Tuesday, May 27, 2025",Vabysmo June Custom Email materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Thursday, May 29, 2025",Deploy #2 JCAD May Digital Highlights,FALSE,"JE, GV",JE,x,,FALSE
Oncology,AZ/Truqap,Hot Topics- Oncology,"Thursday, May 29, 2025",Submit HT in Metastatic Breast Cancer June to printer,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Arcutis/Zoryve,NPPA/PIA,"Sunday, June 1, 2025",Arcutis Corner July-August article due,FALSE,AV,AV,,,FALSE
Dermatology,Castle,Hot Topics- Derm,"Monday, June 2, 2025",Castle Hot Topics in Melanoma July Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Monday, June 2, 2025",CU in GPP Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Monday, June 2, 2025",EP in GPP Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Monday, June 2, 2025",JCAD Jul25 Print Materials Due,FALSE,JE,JE,,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Monday, June 2, 2025",Submit HT in Alzheimer's Disease June to printer,FALSE,"AV, AT",AV,,,FALSE
Neurology,None,ICNS,"Monday, June 2, 2025",Submit ICNS Apr-Jun25,FALSE,"AT, AV",AV,,,FALSE
Oncology,AZ/Calquence,Hot Topics- Oncology,"Tuesday, June 3, 2025",Deploy HT in CLL June New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
NHR,None,NHR,"Tuesday, June 3, 2025",Deploy NHR June 2025 eNL #1 (3/3),FALSE,DD,JE,x,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Tuesday, June 3, 2025",EP in AD Test Due to Deerfield,FALSE,JE,JE,,,FALSE
Oncology,AZ/Calquence,Triggered Email,"Wednesday, June 4, 2025",Calquence June CLL Triggered Email materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,None,NPPA/PIA,"Wednesday, June 4, 2025",Deploy NPPA May-June New Issue eNL,FALSE,GV,AV,x,Include PIA list,FALSE
Oncology,J&J/Carvykti,Hot Topics- Oncology,"Wednesday, June 4, 2025",HT in Multiple Myeloma July materials due,FALSE,"AV, AT",AV,,,FALSE
Oncology,J&J/Carvykti,Patient Edition,"Wednesday, June 4, 2025",Multiple Myeloma: Patient Edition July materials due,FALSE,"AV, AT",AV,,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Thursday, June 5, 2025",Deploy Verzenio June CE,FALSE,"AV, AT",AV,x,,FALSE
Oncology,AZ/One Lung,Hot Topics- Oncology,"Thursday, June 5, 2025",Submit HT in NSCLC June to printer,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, June 6, 2025",Skinceuticals selects preferred article focus and NP or PA to be featured; editorial completes initial reach out,FALSE,JE,JE,,,FALSE
Dermatology,AbbVie Skyrizi,Conf Cov: AAD 2025 Summer,"Monday, June 9, 2025",Choose Speaker KOLs,FALSE,JE,JE,,,FALSE
Neurology,None,ICNS,"Monday, June 9, 2025",Deploy ICNS Apr-Jun25 new issue e-alert,FALSE,"DD, AT",AV,,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Monday, June 9, 2025",EP in GPP Test Due,FALSE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Tuesday, June 10, 2025",Deploy EP in AD (Dermatologists),FALSE,GV,JE,x,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Tuesday, June 10, 2025",Deploy EP in AD (NPPA),FALSE,GV,AV,x,,FALSE
Oncology,AZ/Truqap,Hot Topics- Neurology,"Tuesday, June 10, 2025",Deploy HT in Metastatic Breast Cancer June New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
Ophthalmology,Genentech/Vabsymo,Custom Email,"Tuesday, June 10, 2025",Deploy Vabysmo June Custom Email,FALSE,"AV, AT",AV,x,,FALSE
Oncology,Exelixis/Cabometyx,EP RCC,"Wednesday, June 11, 2025",EP in RCC June materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Wednesday, June 11, 2025",SkinCeuticals provides any product line-specific literature that should be passed on to KOL,FALSE,JE,JE,,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Thursday, June 12, 2025",Deploy HT in Alzheimer's Disease June New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
NHR,None,NHR,"Thursday, June 12, 2025",Submit NHR May-Jun25,FALSE,JE,JE,,,FALSE
Oncology,AZ/Truqap,Triggered Email,"Thursday, June 12, 2025",Truqap June Triggered Email materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,AbbVie Skyrizi,Conf Cov: AAD 2025 Summer,"Friday, June 13, 2025",Send Speaker Invitations,FALSE,KH,JE,,,FALSE
Dermatology,None,JCAD Journal,"Sunday, June 15, 2025",JCAD Jul25 Editorial Message Due,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Monday, June 16, 2025",Deploy EP in GPP,FALSE,GV,JE,x,,FALSE
Dermatology,Skinceuticals,EP PIA,"Monday, June 16, 2025",Review questions submitted to SkinCeuticals for review,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Tuesday, June 17, 2025",CU in GPP Test Due,FALSE,JE,JE,,,FALSE
Oncology,AZ/One Lung,Hot Topics- Oncology,"Tuesday, June 17, 2025",Deploy HT in NSCLC June New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
NHR,None,NHR,"Tuesday, June 17, 2025",NHR Jul-Aug25 Content Meeting,FALSE,"JE, DD, AT",JE,,,FALSE
Dermatology,None,JCAD Journal,"Tuesday, June 17, 2025",Send JDR JCAD Aug25 Articles,FALSE,JE,JE,,,FALSE
Oncology,AZ/Calquence,Hot Topics- Oncology,"Wednesday, June 18, 2025",Deploy Calquence CLL June Triggered Email,FALSE,"AV, AT",AV,x,,FALSE
Oncology,J&J/Carvykti,Hot Topics- Oncology,"Wednesday, June 18, 2025",Submit HT in Multiple Myeloma July to printer,FALSE,"AV, AT",AV,,,FALSE
Oncology,J&J/Carvykti,Patient Edition,"Wednesday, June 18, 2025",Submit Multiple Myeloma: Patient Edition July to printer,FALSE,"AV, AT",AV,,,FALSE
NHR,None,NHR,"Friday, June 20, 2025",Deploy NHR May-June New Issue eNL,FALSE,DD,JE,x,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Friday, June 20, 2025",HT in Alzheimer's Disease July materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Monday, June 23, 2025",Questions finalized and sent to KOL for interview prep,FALSE,JE,JE,,,FALSE
Oncology,BMS/Breyanzi,Custom Email,"Tuesday, June 24, 2025",Breyanzi July CE (FL) materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, June 24, 2025",Castle EP Video Filmed,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Tuesday, June 24, 2025",Deploy CU in GPP ,FALSE,GV,JE,x,,FALSE
Dermatology,None,JCADTV Unsponsored,"Wednesday, June 25, 2025",Deploy #1 JCAD June Digital Highlights,FALSE,"JE, GV",JE,x,,FALSE
Oncology,Exelixis/Cabometyx,EP RCC,"Wednesday, June 25, 2025",Deploy EP in RCC June,FALSE,"AV, AT",AV,x,,FALSE
Oncology,AZ/Truqap,Triggered Email,"Thursday, June 26, 2025",Deploy Truqap June Triggered Email,FALSE,"AV, AT",AV,x,,FALSE
Dermatology,Castle,Hot Topics- Derm,"Thursday, June 26, 2025",Submit Castle Hot Topics in Melanoma July (JCAD July Poly),FALSE,JE,JE,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, June 26, 2025",Tagrisso July CE (ADAURA) materials due,FALSE,"AV, AT",AV,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Friday, June 27, 2025",Deploy #2 JCAD June Digital Highlights,FALSE,"JE, GV",JE,x,,FALSE
Dermatology,None,JCADTV Unsponsored,"Friday, June 27, 2025",Deploy June Digital Highlights ,FALSE,GV,JE,x,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Friday, June 27, 2025",EP in VIT Incyte Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Monday, June 30, 2025",Interview with KOL completed,FALSE,JE,JE,,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, July 1, 2025",Castle EP Materials due,FALSE,JE,JE,,,FALSE
Dermatology,Castle,Hot Topics- Derm,"Tuesday, July 1, 2025",Castle Hot Topics in Melanoma July Deploy,FALSE,GV,JE,x,,FALSE
Dermatology,BI/Spevigo,Custom Email,"Tuesday, July 1, 2025",Custom Email Materials Due,FALSE,JE,JE,,,FALSE
Oncology,J&J/Carvykti,Hot Topics- Oncology,"Tuesday, July 1, 2025",Deploy HT in Multiple Myeloma July New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
Dermatology,AbbVie/Rinvoq,EP AD,"Tuesday, July 1, 2025",EP in AD Materials Due ,FALSE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Tuesday, July 1, 2025",JCAD Aug25 Print Materials Due,FALSE,JE,JE,,,FALSE
Dermatology,AbbVie Skyrizi,Conf Cov: AAD 2025 Summer,"Tuesday, July 1, 2025",Materials Due from CMI,FALSE,JE,JE,,,FALSE
Oncology,J&J/Carvykti,Patient Edition,"Wednesday, July 2, 2025",Deploy Multiple Myeloma: Patient Edition July New Issue eNL,FALSE,"AV, AT",AV,x,,FALSE
Oncology,Exelixis/Cabometyx,EP RCC,"Thursday, July 3, 2025",Cabometyx RCC July Custom Email materials due,FALSE,"AV, AT",AV,,,FALSE
Neurology,Lilly/Kisunla,Hot Topics- Neurology,"Thursday, July 3, 2025",Submit HT in Alzheimer's Disease July to printer,FALSE,"AV, AT",AV,,,FALSE
Dermatology,AbbVie Skyrizi,Conf Cov: AAD 2025 Summer,"Thursday, July 3, 2025",Test Due to CMI,FALSE,"JE, GV",JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Monday, July 7, 2025",Article draft sent to SkinCeuticals for feedback/approval,FALSE,JE,JE,,,FALSE
NHR,None,NHR,"Monday, July 7, 2025",Deploy NHR eNL July 2025 #1 (1/3),FALSE,DD,JE,x,,FALSE
Dermatology,Castle,EP Melanoma/SCC,"Tuesday, July 8, 2025",Castle EP Test Due,FALSE,JE,JE,,,FALSE
Oncology,BMS/Breyanzi,Custom Email,"Tuesday, July 8, 2025",Deploy Breyanzi July Custom Email (FL),FALSE,"AV, AT",AV,x,,FALSE
Oncology,J&J/Carvykti,Hot Topics- Oncology,"Wednesday, July 9, 2025",HT in Multiple Myeloma August materials due,FALSE,"AV, AT",AV,,,FALSE
Oncology,J&J/Carvykti,Patient Edition,"Wednesday, July 9, 2025",Multiple Myeloma: Patient Edition August materials due,FALSE,"AV, AT",AV,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, July 10, 2025",Deploy Tagrisso July CE (ADAURA),FALSE,"AV, AT",AV,x,,FALSE
Dermatology,Skinceuticals,EP PIA,"Thursday, July 10, 2025",One-page print ad materials due,FALSE,JE,JE,,,FALSE
Dermatology,AbbVie/Rinvoq,EP AD,"Thursday, July 10, 2025",Test Due EP in AD Rinvoq,FALSE,"JE, GV",JE,,,FALSE
Dermatology,AbbVie Skyrizi,Conf Cov: AAD 2025 Summer,"Saturday, July 12, 2025",Deploy #1 AAD Summer Day 1 eNL,FALSE,GV,JE,x,US only program,FALSE
Dermatology,AbbVie Skyrizi,Conf Cov: AAD 2025 Summer,"Sunday, July 13, 2025",Deploy #1 AAD Summer Day 2 eNL,FALSE,GV,JE,x,US only program,FALSE
Dermatology,AbbVie Skyrizi,Conf Cov: AAD 2025 Summer,"Monday, July 14, 2025",Deploy #1 AAD Summer Day 3 eNL,FALSE,GV,JE,x,US only program,FALSE
Dermatology,Skinceuticals,EP PIA,"Monday, July 14, 2025",SkinCeuticals submits feedback and changes and product images for final formatted version of article,FALSE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,Custom Email,"Tuesday, July 15, 2025",Custom Email Test Due,FALSE,JE,JE,,,FALSE
